idiom,match
come a long way,Y
a bitter pill to swallow,Y
cry over spilt milk,Y
virtually impossible to find,N
"united we stand, divided we fall",Y
pull the cat's tail,Y
tomorrow is another day,Y
all that glitters is not gold,Y
off the beaten track,N
head for the hills,Y
bring up the rear,Y
make your blood boil,Y
put the boot in,Y
paint the town red,Y
in the short run,N
lay down the law,Y
put the wind up,N
cog in the machine,N
quick as a flash,Y
in the final analysis,Y
beat about the bush,Y
foam at the mouth,Y
sit on the fence,N
stand someone in good stead,Y
on the face of it,Y
pick up the pieces,N
economical with the truth,Y
blow hot and cold,Y
ahead of the curve,Y
dyed in the wool,Y
licence to print money,Y
water under the bridge,Y
the joke is on someone,N
state of the art,Y
wet behind the ears,Y
rise to the occasion,N
keep your pecker up,Y
turn something on its head,Y
as the actress said to the bishop,Y
hair of the dog,Y
step on someone's toes,Y
eat like a horse,N
wide of the mark,Y
pie in the sky,Y
do a number on,Y
from the word go,N
too big for your boots,N
cast your mind back,Y
sure as eggs is eggs,Y
boys will be boys,Y
jump on the bandwagon,Y
kick up a fuss,Y
any port in a storm,Y
nine times out of ten,Y
stick your neck out,Y
go down the wrong way,N
talk out of turn,N
in the family way,N
work like a charm,Y
come to a head,Y
saved by the bell,Y
deaf as a post,Y
put a foot wrong,N
fit as a fiddle,Y
the ayes have it,Y
that makes two of us,Y
strike while the iron is hot,Y
flash in the pan,Y
rise from the ashes,Y
have a screw loose,Y
get away with murder,N
breathe down someone's neck,Y
easy on the eye,N
slip through the net,N
neck of the woods,Y
hot under the collar,Y
play into someone's hands,Y
come out in the wash,N
light at the end of the tunnel,Y
weak at the knees,Y
power behind the throne,Y
as good as new,Y
bang for the buck,Y
let's be having you,Y
at a loss for words,Y
run out of gas,N
place in the sun,N
drive someone up the wall,Y
have an eye for,Y
do someone's head in,Y
grist to the mill,Y
dead in the water,Y
sleep like a log,N
slip of the pen,N
not a pretty sight,Y
paper over the cracks,N
swear like a trooper,N
bounce off the walls,Y
think the world of,N
broad in the beam,Y
different strokes for different folks,Y
ride for a fall,N
reach for the stars,Y
armed to the teeth,Y
throw in the towel,Y
see the light of day,Y
easy as falling off a log,Y
shut the door on,N
cock of the walk,Y
straight from the shoulder,N
make a pig's ear of,Y
share and share alike,Y
laugh all the way to the bank,Y
have a foot in both camps,N
swim against the tide,N
let sleeping dogs lie,Y
sail under false colours,N
laugh like a drain,N
slap on the wrist,Y
fight fire with fire,Y
make a meal of,N
lay a finger on,Y
go round in circles,Y
jobs for the boys,N
live and let live,Y
make a monkey of someone,Y
everything in the garden is rosy,N
you pays your money and you takes your choice,Y
one in the eye for,Y
birds of a feather,Y
make a virtue of necessity,Y
play to the gallery,N
sell like hot cakes,Y
drop someone a line,Y
smell of the lamp,N
hang by a thread,Y
mutton dressed as lamb,Y
I'll eat my hat,Y
upset the apple cart,Y
the whole shooting match,Y
put someone in mind of,Y
poor as a church mouse,Y
on the horns of a dilemma,Y
tough as old boots,Y
kiss and make up,Y
on your high horse,N
one good turn deserves another,Y
rise through the ranks,Y
joined at the hip,Y
long in the tooth,Y
build castles in the air,Y
put your foot in it,N
turn the other cheek,Y
sick as a dog,Y
sail close to the wind,Y
kick over the traces,Y
fit to be tied,Y
gone with the wind,Y
throw someone to the wolves,Y
clean as a whistle,Y
up hill and down dale,Y
pour oil on troubled waters,Y
see a man about a dog,Y
keep body and soul together,Y
fly off the handle,Y
the world and his wife,Y
snug as a bug in a rug,Y
a penny for your thoughts,Y
be left holding the baby,N
have other fish to fry,Y
nutty as a fruitcake,Y
par for the course,Y
strain at the leash,N
poor little rich girl,Y
man of the cloth,N
sweat like a pig,Y
like peas in a pod,Y
make heavy weather of,Y
drunk as a lord,N
like a bear with a sore head,Y
kick up your heels,Y
pushing up the daisies,Y
to beat the band,N
before you can say Jack Robinson,Y
talk nineteen to the dozen,N
stick in your craw,N
fit like a glove,Y
eat someone out of house and home,Y
discretion is the better part of valour,N
all over bar the shouting,Y
cut your coat according to your cloth,Y
reds under the bed,Y
hit the right note,Y
silent as the grave,Y
not miss a trick,N
long time no see,Y
champ at the bit,N
push the boat out,Y
talk of the devil,N
charity begins at home,Y
have someone's guts for garters,Y
"hook, line, and sinker",Y
not worth the candle,N
right up your street,N
cut from the same cloth,Y
get your hands dirty,N
tread on someone's toes,Y
"like father, like son",Y
stick to your guns,Y
bite the big one,Y
not know you are born,N
stubborn as a mule,Y
turn up like a bad penny,N
cruising for a bruising,Y
prop up the bar,N
run before you can walk,Y
hit the ground running,Y
lie through your teeth,Y
tell tales out of school,Y
rough around the edges,Y
cast the first stone,Y
up a gum tree,Y
an Englishman's home is his castle,Y
run into the sand,N
keep your eyes peeled,N
make bricks without straw,Y
every dog has its day,Y
bring someone to book,N
ask for the moon,N
die on the vine,N
work your fingers to the bone,Y
rob Peter to pay Paul,Y
whistle in the dark,Y
drink like a fish,Y
thin as a rake,N
come with the territory,N
come out of your shell,Y
handsome is as handsome does,Y
full of the joys of spring,Y
use a sledgehammer to crack a nut,Y
roll up your sleeves,Y
have the hots for,Y
hit someone for six,Y
too many chiefs and not enough Indians,N
"more haste, less speed",Y
shipshape and Bristol fashion,Y
put your shoulder to the wheel,Y
come to a pretty pass,Y
swim with the tide,N
carry a torch for,Y
could eat a horse,Y
roll with the punches,Y
fire in the belly,N
beard the lion in his den,Y
no peace for the wicked,Y
lock the stable door after the horse has bolted,Y
let someone down gently,N
something nasty in the woodshed,Y
see which way the cat jumps,Y
blow your own trumpet,Y
from stem to stern,Y
have someone by the short and curlies,Y
keep your eye on the ball,Y
knock someone's block off,Y
quiet as a mouse,Y
spread yourself too thin,Y
practise what you preach,Y
ring off the hook,Y
a blessing in disguise,Y
beat around the bush,Y
call it a day,Y
cut somebody some slack,Y
get out of hand,N
get something out of your system,Y
that's the last straw,N
time flies when you're having fun,Y
wrap your head around something,N
you can say that again,Y
put something on ice,N
rain on someone's parade,N
a stitch in time saves nine,Y
as right as rain,Y
bolt from the blue,Y
fortune favours the bold,N
get a second wind,N
get wind of something,N
go down in flames,N
he's not playing with a full deck,Y
he's sitting on the fence,N
it is a poor workman who blames his tools,Y
like riding a bicycle,N
out of the frying pan and into the fire,Y
run like the wind,Y
well begun is half done,Y
bright as a button,N
pain in the neck,Y
salt of the earth,Y
in the best of health,Y
in the eyes of the law,N
to a fine art,N
man in the street,N
money for old rope,Y
white as a sheet,N
cream of the crop,Y
a whole new ball game,Y
an act of war,N
an arm and a leg,Y
an eye for an eye,Y
as poor as a church mouse,Y
cock and bull story,Y
icing on the cake,Y
a load of cobblers,N
a shot in the dark,N
first come first served,N
hold on a second,Y
son of a gun,N
put salt on his tail,N
one card shy of a full deck,Y
be in seventh heaven,Y
pull someone's bacon out of the fire,Y
butterflies in my stomach,Y
look like a million dollars,N
be happy when a person leaves,N
up a creek without a paddle,Y
you can bet your life on that,N
red in the face,Y
hold your tongue back,N
land on one's feet,Y
the forbidden fruit is the sweetest,N
cut to the chase,Y
talk the hind legs off a donkey,Y
"east or west, home is best",Y
don't wash your dirty laundry in public,Y
arm and a leg,Y
"made your bed, now lie",Y
old chicken makes good soup,Y
tip of the iceberg,N
cat got your tongue,Y
neither a borrower or a lender be,Y
while there is life there is hope,Y
bet your bottom dollar,Y
dumb as a post,N
all sizzle and no steak,Y
all the way to egery and back,Y
not a spark of decency,N
a skeleton in the closet,Y
lose sleep over it,N
penny for your thoughts,Y
picture paints a thousand words,Y
method to my madness,Y
a voice crying in the wilderness,Y
cast in the same mould,N
as old as the hills,Y
roll up one's sleeves,Y
company in distress makes sorrow less,N
your belly button is bigger than your stomach,N
no flying from fate,N
speak off the cuff,Y
a friend in need,Y
a cold day in hell,N
it doesn't hurt to ask,N
whale of a time,Y
elvis has left the building,Y
